Timestamp,House
26/06/2022 11:32:12,Gryffindor
26/06/2022 11:31:50,Ravenclaw
26/06/2022 10:30:12,Hufflepuff
26/06/2022 10:30:09,Gryffindor
26/06/2022 11:32:12,Gryffindor
26/06/2022 11:31:50,Ravenclaw
26/06/2022 10:30:12,Gryffindor
26/06/2022 10:30:09,Slytherin
26/06/2022 11:32:12,Gryffindor
26/06/2022 11:31:50,Ravenclaw
26/06/2022 10:30:12,Hufflepuff
26/06/2022 10:30:09,Slytherin
26/06/2022 11:32:12,Hufflepuff
26/06/2022 11:31:50,Ravenclaw
26/06/2022 10:30:12,Hufflepuff
26/06/2022 10:30:09,Gryffindor
26/06/2022 11:32:12,Hufflepuff
26/06/2022 11:31:50,Ravenclaw
26/06/2022 10:30:12,Hufflepuff
26/06/2022 10:30:09,Gryffindor
26/06/2022 11:31:50,Ravenclaw
26/06/2022 11:31:50,Ravenclaw
26/06/2022 10:30:09,Gryffindor
26/06/2022 10:30:09,Gryffindor
26/06/2022 10:30:09,Gryffindor
